column,outliers_count,outliers_percentage,original_mean,processed_mean,original_std,processed_std,lower_bound,upper_bound
humidity,0,0.0,33.0314087336028,32.8654986733454,16.13469897205618,15.48957111854591,-19.960000000000004,84.76
temperature,0,0.0,41.269054975574676,41.320101420884264,8.046713392210467,7.674956263264213,17.79,64.35
vpr_current_val,19399,24.05212388722196,27.866035286532597,27.51168919086468,52.0536471377297,49.19207337346246,0.0,0.0
vpr_voltage_val,0,0.0,12.906723783073376,12.89749919408833,12.677201784234747,12.666419661280154,-38.79,64.65
unit1_current_val,14000,17.358097552508244,1545.5359422967242,1401.6335737843135,3431.587383250545,2875.1791868465248,-87.69874999999999,601.45125
unit1_voltage_val,8814,10.928162273414834,22.974262652813255,22.96710888486622,8.216357986223077,8.211886871857061,18.36,33.0
